카테고리,관련 필드,예시 질문
기본 정보 조회,"name, phone, email",“김철수 교인의 연락처와 이메일이 뭐야?”“전화번호가 없는 교인 명단을 보여줘.”
,"id, church_id",“우리 교회 전체 교인 수는 몇 명이야?”
,position,“장로 명단을 보여줘.”“권사와 집사 비율을 알려줘.”
,department,“찬양대 부서 명단을 보여줘.”
,district,“서대문 구역 교인 명단과 전화번호를 알려줘.”
날짜 기반 조회,birthdate,“이번 달 생일인 교인을 알려줘.”“70세 이상 어르신 명단을 보여줘.”
,baptism_date,“세례받은 교인 명단과 날짜를 알려줘.”“올해 세례받은 사람 수는?”
,registration_date,“최근 3개월 내 등록한 교인 명단을 알려줘.”
,transfer_date,“지난 1년간 다른 교회로 전입한 교인을 알려줘.”
상태/분류,"status, member_status",“현재 active 상태인 교인 수는?”“inactive 상태이면서 세례받은 교인은?”
,marital_status,“기혼과 미혼 비율은 어떻게 돼?”“미혼인 교인 명단을 보여줘.”
,gender,“남녀 비율을 알려줘.”
교회 이력,baptism_church,“세례받은 교회가 OO교회인 사람 명단을 알려줘.”
,transfer_church,“올해 전입해온 교인과 이전 교회를 알려줘.”
가족 관계,"family_id, family_role",“김영희 교인의 가족 구성원은 누구야?”“가족별 인원 수를 알려줘.”
연락/홍보,"invitation_sent, invitation_sent_at",“초청장을 보냈지만 참석하지 않은 사람은?”“아직 초청장을 발송하지 않은 신입 교인 명단을 보여줘.”
메모/비고,"notes, memo",“김민수 교인에 대한 메모를 보여줘.”“특별 관리가 필요한 교인 메모 목록을 보여줘.”
종합 조건 검색,(다수 필드 조합),"“최근 3년 이내 등록했고, 세례를 받았으며, 현재 구역이 ‘서대문구역’이고, 부서가 ‘찬양대’인 사람은?”“주소가 ‘부산’이고 60세 이상인 교인을 보여줘.”"